Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1852.99962636,OUT049
FDW14,1579.62530278,OUT017
NCN55,1888.44660091,OUT010
FDQ58,2609.31372724,OUT017
FDY38,5179.22854118,OUT027
FDH56,1915.7034716,OUT046
FDL48,596.73545054,OUT018
FDC48,2777.82894391,OUT027
FDN33,1510.36628753,OUT045
FDA36,3079.22322456,OUT017
FDT44,1997.26322123,OUT017
FDQ56,1306.66090097,OUT045
NCC54,1849.41838043,OUT019
FDU11,2045.70435627,OUT049
DRL59,888.777463664,OUT013
FDM24,2558.8073895,OUT049
FDI57,3088.66092939,OUT045
DRC12,2764.92718698,OUT018
NCM42,3192.41177168,OUT027
FDA46,1133.65426052,OUT010
FDA31,2798.81254181,OUT013
NCJ31,3878.4109986,OUT035
FDG52,803.887076058,OUT046
NCL19,376.017249719,OUT019
FDS10,3027.56626773,OUT035
FDX22,1448.80656042,OUT010
NCF19,915.075548585,OUT035
NCE06,2527.74293034,OUT046
DRC27,3843.22797017,OUT046
FDE21,2025.28625999,OUT035
NCR42,-1357.70690584,OUT019
FDX51,2863.21514484,OUT018
NCR06,429.350939458,OUT018
FDU31,4940.21676188,OUT027
FDU59,2712.2801758,OUT017
FDR03,4767.68666519,OUT027
FDS49,2760.72598647,OUT027
FDD48,-73.360906561,OUT010
NCF18,3110.83364059,OUT017
NCD43,3099.63403652,OUT027
NCD54,1989.85634952,OUT018
FDY19,-36.0633958789,OUT010
NCY54,2810.90805715,OUT017
NCL19,2023.20936779,OUT018
FDP23,1533.61660436,OUT010
FDC26,1817.96745114,OUT013
FDR14,-1040.09400989,OUT010
NCS41,3035.72070244,OUT035
FDF41,4041.78474758,OUT035
FDU34,2002.57478955,OUT046
DRH11,919.737705201,OUT046
FDM03,1764.05222997,OUT013
FDS31,3048.9414521,OUT017
FDJ20,2092.03199936,OUT017
FDV44,4494.50728475,OUT027
FDG02,3102.74764881,OUT049
FDA09,2910.72365598,OUT013
FDT04,690.784058588,OUT013
FDL58,2294.26617941,OUT019
FDE52,1455.75734887,OUT045
FDW12,2503.71109389,OUT035
FDL51,3549.1249499,OUT017
NCY42,3687.33932982,OUT027
FDR07,1658.68606595,OUT017
FDN40,2374.40853527,OUT045
FDB35,2949.76563352,OUT027
FDA22,2742.24054893,OUT017
NCL06,4110.96022932,OUT046
FDI35,2917.44948693,OUT013
NCW42,3411.81137697,OUT045
NCX06,2934.65779657,OUT049
FDC37,3192.97288296,OUT027
FDZ14,1727.67824351,OUT018
DRG49,3947.42287772,OUT049
NCG06,3959.97752365,OUT045
DRC36,2721.48265072,OUT045
FDV21,61.8434554892,OUT019
FDB53,2359.18711892,OUT046
DRP47,2042.03999378,OUT019
FDA14,2352.9542704,OUT013
DRC24,2568.01425768,OUT035
FDW21,1414.2307357,OUT018
NCH29,1556.36645672,OUT046
FDU58,3079.46140831,OUT013
FDY27,2946.13832891,OUT017
FDV56,1948.66961617,OUT035
FDT59,3656.49869803,OUT046
FDB23,3621.78630197,OUT046
FDR49,698.229325521,OUT045
FDB03,1908.56402732,OUT010
FDN39,2617.74896367,OUT045
FDX02,4985.38654793,OUT027
FDQ16,3188.6206773,OUT027
FDU35,1341.91363612,OUT018
NCT29,1957.44022118,OUT013
FDZ27,830.160237079,OUT046
FDN57,2345.9125066,OUT017
FDA03,2099.17346142,OUT018
FDZ36,2920.13917024,OUT045
NCU05,1322.22697371,OUT013
FDT39,2179.96420273,OUT018
FDK60,1722.70679974,OUT017
FDZ25,2857.67721603,OUT017
FDG12,2037.03654178,OUT046
DRB01,1127.08234152,OUT019
NCC43,5377.82634026,OUT027
FDX13,2035.65067291,OUT019
FDM22,1028.197482,OUT049
FDJ03,2306.35926304,OUT027
FDU14,3678.05070221,OUT018
FDB33,624.785367356,OUT010
FDP27,3005.28551269,OUT046
FDO38,-669.67180166,OUT010
FDE28,5152.78804428,OUT027
FDO27,1701.43682663,OUT035
DRL23,3166.74173102,OUT027
FDS28,963.015156477,OUT046
FDX24,1547.70672246,OUT013
FDZ02,1746.65681258,OUT035
FDL46,1812.466327,OUT045
FDS60,4294.98783698,OUT027
NCO06,635.562700364,OUT017
FDO16,1527.69676744,OUT035
FDC60,1538.20440945,OUT049
FDA48,3199.43316431,OUT018
FDZ36,4452.52347832,OUT027
FDK27,1877.27884857,OUT045
FDW23,378.39285122,OUT018
FDM14,1509.89545373,OUT018
FDM14,1787.43372482,OUT013
FDW60,2603.2340338,OUT018
FDE21,1909.99531856,OUT013
NCM42,1881.64652288,OUT035
FDY59,-372.483239924,OUT010
DRI49,1380.7719379,OUT049
FDT28,510.440734027,OUT019
FDQ22,408.83034235,OUT018
FDR60,1335.10347142,OUT049
FDC50,-393.411143871,OUT019
FDV24,2457.75673648,OUT013
DRF48,1026.28961398,OUT010
FDQ47,638.513615105,OUT046
DRN36,1662.91431511,OUT049
NCY06,2173.63940474,OUT035
FDE52,1658.9045023,OUT035
NCB54,1936.74691997,OUT045
NCF31,2548.25545054,OUT035
FDJ08,4448.17990378,OUT027
NCC07,1786.87268809,OUT017
NCD19,2357.66629069,OUT027
FDL46,2012.1464187,OUT049
FDM20,3834.18836822,OUT045
NCI06,918.414632727,OUT010
DRM11,4219.63661328,OUT035
NCH07,2205.84367827,OUT018
FDS23,2083.07158715,OUT013
FDO49,599.262355166,OUT018
FDS35,1164.07902745,OUT049
DRK39,1276.46869364,OUT045
DRI39,1036.64088767,OUT049
FDV04,2639.30721332,OUT017
NCN14,3008.739652,OUT035
FDH08,3688.27901164,OUT013
FDS20,2911.07125056,OUT046
FDV40,1357.20546941,OUT049
FDZ48,-140.380816418,OUT010
FDS24,2910.49540893,OUT027
FDK44,2861.52913364,OUT049
FDS48,2343.02515707,OUT045
FDK26,1104.78088605,OUT010
FDD23,2971.97681933,OUT045
NCH54,2636.29636379,OUT017
NCP14,-248.758737165,OUT010
FDM60,-1182.75151056,OUT010
FDV24,2522.51739263,OUT017
FDH08,3345.34510646,OUT018
FDS12,3463.22095144,OUT027
FDR39,4318.26618709,OUT027
FDP12,2124.94116495,OUT027
DRF60,5187.34378577,OUT027
FDC09,1848.30884125,OUT035
FDF50,2887.36295523,OUT018
FDG28,4054.64491696,OUT035
NCE19,983.175816806,OUT017
NCM53,-199.575412509,OUT010
NCN18,1850.17009203,OUT049
FDF32,3316.70180722,OUT035
FDF11,3872.01172014,OUT013
DRI59,3662.23581087,OUT049
NCG54,2811.06678397,OUT035
FDM44,1636.95410435,OUT046
FDT57,3465.22352485,OUT018
FDV24,2417.76741759,OUT046
FDI50,1769.6779823,OUT019
FDS09,1033.72631024,OUT035
NCC31,3895.29701757,OUT027
FDQ07,1596.87491216,OUT019
FDC22,3171.26680067,OUT017
FDZ56,2695.56558221,OUT046
FDZ40,-1001.41296273,OUT019
FDS46,3393.25230664,OUT027
DRD24,2162.21288421,OUT045
FDV45,3106.20909568,OUT017
FDL26,2418.38889346,OUT045
FDA56,1706.22004223,OUT018
FDN27,1918.63017107,OUT046
FDM20,3981.54084551,OUT049
FDO16,1458.5061132,OUT017
FDL03,3302.17666433,OUT035
FDE58,1910.49398796,OUT046
FDI02,3288.00516432,OUT027
NCC55,-1234.97096253,OUT019
FDR03,3051.78908766,OUT018
FDB14,1641.09660946,OUT017
FDR45,3851.03806322,OUT013
NCN07,2156.86196056,OUT017
FDM51,-182.125472131,OUT019
FDT52,5361.34631125,OUT027
FDL26,2463.18428841,OUT046
NCZ42,3763.99470694,OUT046
DRI47,416.143651077,OUT019
FDW40,2317.58231881,OUT013
FDN34,2741.21585571,OUT046
FDS01,2988.22272198,OUT035
NCG55,1789.89455442,OUT045
FDC11,1548.81702414,OUT035
FDX35,3341.42611595,OUT018
